1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
10,Removed,Sheltered Valley,Triple,Riblet,1988-2011,1800,276,1363,75,400,,,Bottom,Bottom,3.4,,alpine-valley-wi/
11,Removed,Valley View,Double,Hall,1972-2016,1000,183,1343,40,400,,,,,3.4,,alpine-valley-wi/
12,Removed,,Quad,Mohawk,1965-,2500,280,1600,,750,,,,,2.1,,alpine-valley-wi/
13,Removed,,Double,St. Lawrence,1964-,900,216,1415,,,,,,,,,alpine-valley-wi/
14,Removed,,Double,St. Lawrence,1964-,900,216,1165,,,,,,,,,alpine-valley-wi/
15,Removed,,Double,St. Lawrence,1964-,900,232,1510,,,,,,,,,alpine-valley-wi/
16,Removed,,Triple,Riblet,1986-,1800,295,1545,,400,,,,,3.9,,alpine-valley-wi/
17,Removed,,Triple,Riblet,1986-,1800,287,1393,,400,,,,,3.5,,alpine-valley-wi/
18,Removed,,Double,Hall,1970-,900,230,1608,,405,,,,,4,,alpine-valley-wi/
19,Removed,,Double,Hall,1970-,1000,226,1382,,465,,,,,3,,alpine-valley-wi/
20,Removed,,Double,Hall,1968-,1000,194,1442,,465,,,,,3.1,,alpine-valley-wi/
21,Removed,,Double,Hall,1971-,1000,183,1343,,405,,,,,3.3,,alpine-valley-wi/
22,Removed,,Double,Hall,1969-,1000,183,1343,,400,,,,,3.4,,alpine-valley-wi/
23,Removed,,Double,St. Lawrence,1967-,1000,200,1350,,450,,,,,3,,alpine-valley-wi/
24,Removed,,Triple,Riblet,1995-,1270,196,1073,40,415,,,,,2.6,,alpine-valley-wi/
2,Operating,Lakeview,Double,Riblet,,,,,,,,6,Top,Bottom,,,alta-sierra-ca/
3,Operating,Ridge,Double,Riblet,,,,,,,,10,Top,Bottom,,,alta-sierra-ca/
2,Operating,Albion,Double,Yan,1976-,1000,867,5150,,475,153,25,Bottom,Bottom,10.8,,alta-ski-area-ut/
3,Operating,Collins Stage 1,High Speed Quad,Doppelmayr CTEC,2004-,2400,741,2727,500,1000,49,9,Top,Bottom,2.7,,alta-ski-area-ut/
