1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
33,Removed,Ski Baba,Double,Borvig,1979-2016,1000,55,542,,300,27,6,Top,Bottom,1.8,,mt-snow-vt/
34,Removed,Tumbleweed,Triple,Yan,1997-2022,,,,,,100,13,Top,Bottom,,Relocated from Beaver,mt-snow-vt/
2,Operating,Avalanche,Double,Partek,2021-,,,,,,80,9,Bottom,Bottom,,Bottom terminal built in 2011,mt-southington-ct/
3,Operating,Northstar,Double,Hall,2001-,,,,,,41,6,Bottom,Bottom,,,mt-southington-ct/
4,Operating,Stardust,Triple,Borvig,1978-,1800,345,2156,,450,95,10,Bottom,Bottom,4.8,,mt-southington-ct/
5,Operating,Thunderbolt,Triple,Partek,2009-,,,,100,,90,11,Bottom,Bottom,,,mt-southington-ct/
6,Removed,Avalanche,Double,Hall,1969-2021,900,357,2069,100,465,67,10,Bottom,Bottom,4.4,New Partek drive terminal in 2011,mt-southington-ct/
7,Removed,J-Bar,J-Bar,,-2001,,,,,,,,,,,,mt-southington-ct/
8,Removed,Mid Mountain,T-Bar,Doppelmayr,1965-2009,900,175,1200,,590,,,,,2,,mt-southington-ct/
9,Removed,Mid Mountain,T-Bar,Doppelmayr,1965-2009,900,175,1200,,590,,,,,2,,mt-southington-ct/
2,Operating,1 Vista Cruiser,Double,Riblet,1956-,,1530,4380,,,,18,Top,Bottom,,,mt-spokane-wa/
3,Operating,2 Illuminator,Double,Riblet,1961-,,1298,3780,,,,20,Bottom,Top,,New Skytrac drive terminal in 2021,mt-spokane-wa/
4,Operating,3 Parkway Express,Double,Riblet,1970-,1200,924,3745,,450,,,Bottom,Top,8.3,,mt-spokane-wa/
5,Operating,4 Hidden Treasure,Double,Riblet,1972-,1160,1473,4188,200,450,,26,Top,Bottom,9.3,,mt-spokane-wa/
6,Operating,5 Beginner's Luck,Double,Riblet,1977-,1200,165,1115,,300,,6,Top,Bottom,3.7,,mt-spokane-wa/
7,Operating,6 Northwood,Triple,Skytrac,2018-,1200,1439,4612,400,500,130,17,Top,Top,9.2,,mt-spokane-wa/
8,Removed,Chair 1,Double,Riblet,-1956,,,,,,,,,,,,mt-spokane-wa/
9,Removed,,T-Bar,Heron-Poma,1971-,1000,116,750,,482,,,,,1.6,,mt-spokane-wa/
2,Operating,Adventure Express,High Speed Six,Poma,1996-,3600,,,,,42,10,Bottom,Dual,,,mt-st-louis-moonstone-on/
3,Operating,Easy Street,Triple,Poma,1991-,1800,,,,,30,3,Bottom,Top,,Relocated,mt-st-louis-moonstone-on/
4,Operating,Gentle Ben,Triple,BM Lifts,1992-,1800,165,1240,60,370,48,6,Bottom,Bottom,3.4,,mt-st-louis-moonstone-on/
5,Operating,Josl Huter Express,High Speed Six,Leitner-Poma,2019-,3000,420,2164,306,1000,43,9,Bottom,Dual,2.2,,mt-st-louis-moonstone-on/
6,Operating,Outback,Quad,BM Lifts,1997-,2400,,,,,57,6,Bottom,Bottom,,Relocated from Turkey Chute,mt-st-louis-moonstone-on/
7,Operating,Promenade Express,High Speed Six,Poma,1999-,3000,404,2343,300,984,44,9,Bottom,Dual,2.4,,mt-st-louis-moonstone-on/
8,Operating,Summit Six Express,High Speed Six,Leitner-Poma,2007-,3600,459,2064,400,1000,44,10,Bottom,Dual,2.1,,mt-st-louis-moonstone-on/
9,Operating,Sundance,Quad,Leitner-Poma,2010-,2400,452,1746,150,450,78,7,Bottom,Bottom,3.9,,mt-st-louis-moonstone-on/
10,Removed,Gentle Ben,T-Bar,Timberland-Ellicott,1965-1992,1200,200,1300,,400,,,,,3.3,,mt-st-louis-moonstone-on/
11,Removed,Louis Express,High Speed Quad,Poma,1989-2019,3000,419,2175,290,1000,,,,,2.2,,mt-st-louis-moonstone-on/
12,Removed,Promenade North,Double,Borvig,1970-1999,1400,410,2600,,500,,,,,5.2,,mt-st-louis-moonstone-on/
13,Removed,Promenade South,Double,Borvig,1970-1999,1200,390,2400,,450,,,,,5.3,,mt-st-louis-moonstone-on/
14,Removed,Stretcher,Triple,Skyway,1979-2007,2100,450,2400,150,450,100,15,Bottom,Bottom,5.3,,mt-st-louis-moonstone-on/
15,Removed,Sundance,Quad,BM Lifts,1985-2010,1800,240,1530,,375,,,Bottom,Bottom,4.1,,mt-st-louis-moonstone-on/
16,Removed,Timberline,Double,Poma,1972-2007,1200,360,1700,75,480,66,9,Bottom,Top,3.5,,mt-st-louis-moonstone-on/
17,Removed,Turkey Chute,Quad,BM Lifts,1987-1996,2400,402,1645,150,450,,,,,3.7,,mt-st-louis-moonstone-on/
18,Removed,Venture,Quad,BM Lifts,1983-2018,2800,341,1500,,450,,,,,3.3,,mt-st-louis-moonstone-on/
19,Removed,,Triple,Poma,1969-,1200,372,2372,,480,,,,,4.9,,mt-st-louis-moonstone-on/
2,Operating,Clipper Ship,Quad,Poma,2000-,2200,374,1814,150,425,58,8,Bottom,Bottom,4.3,,mt-sunapee-nh/
3,Operating,North Peak,Triple,Doppelmayr,1987-,1800,965,3254,250,450,142,12,Bottom,Bottom,7.2,,mt-sunapee-nh/
4,Operating,Spruce,Triple,Doppelmayr,1985-,1800,417,1940,125,400,92,12,Bottom,Bottom,4.9,,mt-sunapee-nh/
5,Operating,Sunapee Express,High Speed Quad,Poma,1998-,2650,1405,6057,700,1100,126,22,Bottom,Dual,5.5,,mt-sunapee-nh/
6,Operating,Sunbowl Express,High Speed Quad,Poma,2014-,2400,1058,4292,,1000,,,,,4.3,"Relocated from Okemo, VT",mt-sunapee-nh/
7,Removed,Duckling,Double,Roebling,1963-2018,900,385,1743,50,350,53,15,Bottom,Top,4.5,,mt-sunapee-nh/
8,Removed,Elliott,T-Bar,Roebling,1960-1985,800,,2200,,,,,,,,,mt-sunapee-nh/
9,Removed,North Peak,Double,Roebling,-1987,900,,3200,,,,,,,,,mt-sunapee-nh/
10,Removed,Sun Bowl,Double,Hopkins,1967-1998,1200,1053,4355,,500,,,,,8.7,,mt-sunapee-nh/
11,Removed,Province,Double,Hopkins,1965-2000,900,377,1865,,400,,,Bottom,Top,4.7,,mt-sunapee-nh/
12,Removed,Summit,Double,Roebling,1966-1987,600,,6800,,,,,,,,,mt-sunapee-nh/
13,Removed,Summit,T-Bar,Constam,1953-1967,1000,,2500,,,,,,,,,mt-sunapee-nh/
14,Removed,Summit,Triple,Doppelmayr,1987-1998,1650,1410,6200,,400,,,,,15.5,,mt-sunapee-nh/
15,Removed,Sunbowl,Quad,Poma,1998-2014,2600,1058,4292,400,450,173,16,Top,Top,9.5,"Relocated from Okemo, VT",mt-sunapee-nh/
16,Removed,Sunny Slopes,J-Bar,Robbins,,600,,500,,,,,,,,,mt-sunapee-nh/
2,Operating,Boomerang,Quad,Doppelmayr CTEC,2004-,1400,1613,4272,400,450,95,21,Top,Top,2.9,,mt-washington-bc/
3,Operating,Eagle Express,High Speed Quad,Garaventa CTEC,1998-,2400,1300,4455,700,984,95,17,Bottom,,4.5,,mt-washington-bc/
4,Operating,Hawk Express,High Speed Six,Doppelmayr CTEC,2002-,2400,1036,4544,600,1050,63,15,Top,Bottom,4.3,,mt-washington-bc/
5,Operating,Sunrise,Quad,CTEC,1992-,2222,1292,4280,500,500,158,17,Top,Bottom,8.6,,mt-washington-bc/
6,Operating,Whiskey Jack,Triple,Doppelmayr,1983-,2000,954,3570,,450,158,14,Top,Bottom,7.9,,mt-washington-bc/
7,Removed,Blue,Double,Mueller,1979-1998,1200,1236,4370,,500,,,,,8.7,,mt-washington-bc/
8,Removed,Discovery,Platter,Mueller,1994-2011,750,184,1400,30,460,,,Top,Bottom,3,,mt-washington-bc/
9,Removed,Green,Double,Mueller,1979-2011,1440,350,2248,,450,,10,Bottom,Bottom,5,,mt-washington-bc/
10,Removed,Red,Triple,Mueller,1980-2002,1100,1535,6022,,500,,,Bottom,Bottom,12,,mt-washington-bc/
2,Operating,Chair 1,Double,Riblet,1975-,1200,911,2059,,400,,,Bottom,Bottom,5.1,,mt-waterman-ca/
3,Operating,Chair 2,Double,SLI,1968-,,,,,,,,Top,Bottom,,,mt-waterman-ca/
4,Operating,Chair 3,Double,Riblet,1981-,1200,410,1057,,410,,,Top,Bottom,2.6,,mt-waterman-ca/
5,Removed,Chair 1,Single,Homemade,1942-1975,,,,,,,,,,,,mt-waterman-ca/
2,Operating,Chairlift,Double,Hall,1979-,1200,296,1625,,460,,9,Bottom,Bottom,3.5,,mt-zion-mi/
2,Operating,Fat Bird Flyer,Quad,Garaventa CTEC,1995-,1200,301,2045,60,425,,8,Bottom,Bottom,4.8,,mystic-mountain-at-nemacolin-woodlands-pa/
2,Operating,Bronze,Double,Doppelmayr,1985-,1200,276,1696,,450,76,7,Bottom,Bottom,3.8,,nakiska-ab/
3,Operating,Gold,High Speed Quad,Leitner-Poma,2009-,1910,1537,4790,500,1000,81,18,Top,Dual,4.8,,nakiska-ab/
4,Operating,Olympic,High Speed Quad,Doppelmayr,1987-,2600,1299,7143,600,1000,168,25,Top,Bottom,7.1,Every other chair was removed,nakiska-ab/
5,Operating,Platter,Platter,Doppelmayr,1985-,300,525,978,,530,9,3,Bottom,Top,1.8,,nakiska-ab/
6,Operating,Silver,High Speed Quad,Doppelmayr,1985-,2400,1404,5653,,1000,127,18,Top,Bottom,5.7,,nakiska-ab/
7,Removed,Gold,Triple,Doppelmayr,1985-2009,1980,1483,4341,,475,,,Top,Bottom,9.1,,nakiska-ab/
2,Operating,Chief,Triple,Borvig,1986-,1800,235,1018,,375,,5,Bottom,Bottom,2.7,New chairs 2020,nashoba-valley-ma/
3,Operating,Snowdance,Double,Carlevaro-Savio,1977-,,,,,,,8,Bottom,Bottom,,"Relocated from Horn Pond Mountain, MA",nashoba-valley-ma/
4,Operating,Sundance,Triple,CTEC,1994-,,,,,,,8,Bottom,Bottom,,Relocated,nashoba-valley-ma/
5,Operating,Wardance,Triple,Thiokol,1978-,,,,,,,8,Bottom,Bottom,,Relocated,nashoba-valley-ma/
6,Removed,Tomahawk,T-Bar,,1972-,,,,,,,,,,,,nashoba-valley-ma/
2,Operating,Quad,Quad,Partek,2015-,,,,,,,10,Bottom,Bottom,,,national-winter-activity-center-nj/
3,Operating,Triple,Triple,Partek,2015-,,,,,,,6,Bottom,Bottom,,,national-winter-activity-center-nj/
4,Removed,A,Triple,Borvig,1975-2015,1800,576,2460,,450,,,Bottom,Bottom,5.5,,national-winter-activity-center-nj/
5,Removed,B,Double,Borvig,1976-2015,520,215,1924,,400,,,Bottom,Bottom,4.8,,national-winter-activity-center-nj/
6,Removed,C,Double,Borvig,1984-2015,1200,522,2077,,450,,,Bottom,Bottom,4.6,,national-winter-activity-center-nj/
2,Operating,Skylift,Double,Riblet,1967-,,,,,,52,15,Bottom,Bottom,,,natural-bridge-ky/
2,Operating,Chairlift,Double,CTEC,1988-,500,246,590,30,,22,3,Top,Top,,,natural-tunnel-va/
2,Operating,Sky Tram,Double,Hopkins,2012-,,,,,,40,8,North,North,,,nebraska-state-fair-ne/
2,Operating,Broadway Skyliner,Double,SkyTrans,2017-,1960,7.5,1400,40,200,116,12,West,West,7,,new-york-state-fairgrounds-ny/
2,Operating,T-Bar,T-Bar,Poma,,,,,,,,4,Bottom,Top,,,newcomb-ny/
2,Operating,Double,Double,Hall,,,,,,,36,7,Bottom,Bottom,,,nordic-mountain-wi/
3,Operating,Triple,Triple,Hall,1975-,1800,199,1214,,400,56,6,Bottom,Bottom,3,,nordic-mountain-wi/
4,Removed,T-Bar,T-Bar,,,,,,,,,,,,,,nordic-mountain-wi/
5,Removed,Poma,Platter,,,,,,,,,,,,,,nordic-mountain-wi/
2,Operating,Apollo,Double,Hall,1970-,1000,1110,3113,,410,,17,Bottom,Bottom,7.6,Midstation,nordic-valley-ut/
3,Operating,Bridger,Double,Thiokol,1971-,800,244,1309,,350,49,7,Bottom,Bottom,3.7,Garaventa CTEC motor room,nordic-valley-ut/
4,Operating,Crocket,Triple,Yan,2007-,,,,,,,7,Top,Bottom,,"Relocated from Deer Valley, UT",nordic-valley-ut/
5,Operating,Nordic Express,High Speed Six,Leitner-Poma,2020-,2000,1384,4213,700,1000,50,13,Top,Bottom,4.2,,nordic-valley-ut/
2,Operating,Appalachian Mountain Lift,Double,Hopkins,2002-,,,,,200,105,12,Bottom,Bottom,,,north-carolina-mountain-state-fair-nc/
2,Operating,State Fair Flyer,Double,Partek,2016-,1034,37,1445,50,200,126,11,Orville,Orville,7.2,,north-carolina-state-fair-nc/
2,Operating,Georgia Mountain Lift,Double,Hopkins,2013-,,,,,200,130,17,North,North,,,north-georgia-state-fair-ga/
2,Operating,John Pierson,T-Bar,Hall,2009-,,,,60,,,9,Bottom,Top,,"Relocated from Ski Bradford, MA",northeast-slopes-vt/
2,Operating,,T-Bar,Borvig,1980-,1200,294,2090,,300,,,,,7,,northern-warfare-training-center-ak/
3,Removed,,Platter,Poma,1965-,500,587,3150,,810,,,,,3.9,,northern-warfare-training-center-ak/
2,Operating,Arrow Express,High Speed Quad,Doppelmayr,1994-,2800,535,3114,500,889,76,10,Bottom,Bottom,3.5,,northstar-ca/
3,Operating,Backside Express,High Speed Quad,Doppelmayr,1993-,2570,1846,6034,700,1000,136,23,Top,Bottom,6,,northstar-ca/
4,Operating,Big Springs Gondola,Gondola 6,Doppelmayr,2015-,,,,,,79,11,Top,Bottom,,Re-used towers and cabins from previous gondola,northstar-ca/
5,Operating,Comstock Express,High Speed Six,Doppelmayr,2022-,3200,1245,5632,650,1000,105,18,Top,,5.6,,northstar-ca/
6,Operating,Highlands Gondola,Pulse Gondola,Doppelmayr CTEC,2009-,440,584,3450,300,800,,13,Bottom,Top,4.3,,northstar-ca/
7,Operating,Lookout Link,Platter,Doppelmayr CTEC,2006-,600,121,1290,20,400,75,9,Top,Top,3.2,,northstar-ca/
8,Operating,Martis Camp Express,High Speed Quad,Garaventa CTEC,2000-,2400,1254,3175,600,1000,98,20,Top,Bottom,3.2,"Lengthened by more than 2,000 feet in 2008",northstar-ca/
9,Operating,Promised Land Express,High Speed Quad,Doppelmayr,2011-,2400,1453,4673,600,1000,105,17,Top,Bottom,4.7,,northstar-ca/
10,Operating,Rendezvous,Triple,Yan,1979-,1800,646,2920,,450,128,16,Bottom,Bottom,6.5,,northstar-ca/
11,Operating,Tahoe Zephyr Express,Chondola 6/8,Doppelmayr CTEC,2006-,2400,1064,5106,600,1000,70,17,Top,Bottom,5.1,,northstar-ca/
12,Operating,The Big Easy,Quad,Doppelmayr CTEC,2009-,2372,160,1036,100,400,46,7,Bottom,Top,2.6,,northstar-ca/
13,Operating,Timberline,Triple,Yan,2007-,,,,,,,12,Top,Bottom,,Relocated,northstar-ca/
14,Operating,Village Express,High Speed Quad,Doppelmayr CTEC,2004-,2400,690,4622,500,1000,97,15,Top,Bottom,4.6,,northstar-ca/
15,Operating,Vista Express,High Speed Quad,Doppelmayr,1994-,2800,1176,5611,600,1000,118,16,Bottom,Bottom,5.6,,northstar-ca/
16,Removed,Aspen Express,High Speed Quad,Doppelmayr,1989-1994,2800,918,5204,500,1000,,,,,5.2,,northstar-ca/
17,Removed,Bear Paw,Double,Riblet,1972-2009,1100,120,790,25,350,,,Bottom,Bottom,2.3,,northstar-ca/
18,Removed,Big Springs,Double,Riblet,1972-1985,1200,482,4284,100,350,,,,,12.2,,northstar-ca/
19,Removed,Big Springs,Gondola 6,Doppelmayr,1985-2015,2400,472,4097,,1000,,,Top,Bottom,4.1,,northstar-ca/
20,Removed,Comstock Express,High Speed Quad,Doppelmayr,1989-2022,2800,1253,5639,600,1000,140,22,Top,Bottom,5.6,,northstar-ca/
21,Removed,Echo,Triple,Riblet,1978-2004,1800,700,4800,200,435,225,41,Top,Bottom,11,,northstar-ca/
22,Removed,Forest,Double,Riblet,1974-1994,1180,1171,5746,,500,,,,,11.5,,northstar-ca/
23,Removed,Pioneer,Double,Riblet,1972-2006,1200,965,4334,200,500,110,20,Bottom,Bottom,8.7,,northstar-ca/
24,Removed,Pluto,Double,Riblet,1972-1989,1200,1259,5884,250,500,,,,,11.8,,northstar-ca/
25,Removed,Schaeffer Camp,Triple,Yan,1983-1993,1800,1854,6150,,475,,,,,12.9,,northstar-ca/
26,Removed,Turnpike,Double,Riblet,1972-1994,1200,589,3904,125,450,,,,,8.7,,northstar-ca/
2,Operating,Black,Quad,Riblet,1997-,2400,293,1459,125,400,,9,Bottom,Bottom,3.6,,nubs-nob-mi/
3,Operating,Brown,Triple,Riblet,1991-,1800,312,1744,100,425,,9,Bottom,Bottom,4.1,,nubs-nob-mi/
4,Operating,Gray,Triple,Superior Tramway,2008-,,,,,,,10,Bottom,Bottom,,,nubs-nob-mi/
5,Operating,Green,Quad,Riblet,1978-,2400,398,1735,,400,,14,Top,Bottom,4.3,"Major retrofit, center pole chairs replaced with bail chairs in 1996",nubs-nob-mi/
6,Operating,Orange,Triple,Riblet,1979-,1800,380,2273,,425,,19,Top,Bottom,5.3,,nubs-nob-mi/
7,Operating,Purple,Double,Poma,1972-,900,256,1290,30,500,,8,Bottom,Top,2.6,,nubs-nob-mi/
8,Operating,Red,Quad,Riblet,1993-,2400,287,1621,125,425,,10,Bottom,Bottom,3.8,,nubs-nob-mi/
9,Operating,Yellow,Triple,Riblet,1989-,1800,376,1370,100,400,,8,Bottom,Bottom,3.4,,nubs-nob-mi/
10,Removed,Blue,Double,Poma,1971-2020,1200,340,1324,,500,,7,Bottom,Top,2.6,,nubs-nob-mi/
11,Removed,Blue,Double,,1961-1989,,,,,,,,,,,,nubs-nob-mi/
12,Removed,Dorie's,Platter,Poma,1969-1971,900,200,1007,,420,,,,,2.4,,nubs-nob-mi/
13,Removed,Yellow,Double,,1958-1993,,,,,,65,,,,,,nubs-nob-mi/
2,Operating,Einstein's Express,Quad,Garaventa CTEC,2001-,1400,621,3005,125,450,68,10,Bottom,Bottom,6.7,,oak-mountain-ny/
3,Removed,Tree Bar,T-Bar,Hall,1963-2021,600,74,465,,,17,4,Top,Top,,,oak-mountain-ny/
4,Removed,Village,T-Bar,Hall,1963-,1000,278,1170,,,,7,Bottom,Top,,,oak-mountain-ny/
5,Removed,A,T-Bar,,-2001,,,,,,,,,,,,oak-mountain-ny/
2,Operating,California Trail,Gondola 8,Doppelmayr,2016-,1200,308,1840,200,600,17,7,Top,Bottom,3.1,,oakland-zoo-ca/
3,Operating,Skyride,Triple,Hopkins,1967-,,,,,,,10,Bottom,Top,,New SkyTrans chairs in 2008.,oakland-zoo-ca/
2,Operating,Aerial Tram,Tram 120,VonRoll,1973-,,1337,11088,1200,,2,6,Bottom,,,,ober-gatlinburg-tn/
3,Operating,Black,Quad,Borvig,1981-,2400,556,2167,,400,107,15,Bottom,Bottom,5.4,,ober-gatlinburg-tn/
4,Operating,Blue,Double,Riblet,1978-,500,279,1566,,200,,9,Bottom,Bottom,7.8,SLI towers and chairs,ober-gatlinburg-tn/
5,Operating,Red,Quad,Borvig,1981-,2400,163,768,,400,35,4,Bottom,Bottom,1.9,,ober-gatlinburg-tn/
6,Operating,Scenic,Double,Carlevaro-Savio,1962-,,,,,,85,15,Bottom,Bottom,,"Borvig drive terminal, Partek chairs.",ober-gatlinburg-tn/
2,Operating,Triple,Triple,Partek,2004-,1200,168,832,40,400,,4,Bottom,Bottom,2.1,,oglebay-wv/
3,Removed,1,Platter,Poma,1963-1997,650,180,975,,,,,,,,,oglebay-wv/
4,Removed,2,Platter,Poma,1964-1997,600,154,820,,,,,,,,,oglebay-wv/
5,Removed,Beginner,Platter,Poma,1980-1997,420,100,671,,405,,,,,1.7,,oglebay-wv/
2,Operating,SkyGlider,Triple,Hopkins,1969-,,,,,,95,12,South,South,,,ohio-state-fair-oh/
2,Operating,Black Ridge,Triple,Poma,1984-,1800,718,2779,,500,,9,Bottom,Bottom,5.6,,okemo-vt/
3,Operating,Coleman Brook Express,High Speed Quad,Leitner-Poma,2003-,2400,390,2530,250,1000,,10,Top,Dual,2.5,,okemo-vt/
4,Operating,Evergreen Summit Express,High Speed Quad,Poma,2021-,2180,1020,4131,600,1000,80,15,Bottom,Dual,4.1,"Bubbles, relocated from Quantum Four",okemo-vt/
5,Operating,Glades Peak,Quad,Poma,1991-,2300,1023,3926,300,500,151,16,Bottom,Bottom,7.9,,okemo-vt/
6,Operating,Morning Star,Triple,Poma,1995-,1800,718,2779,,500,,9,Bottom,Bottom,5.6,Relocated from Northeast,okemo-vt/
7,Operating,Quantum Six,High Speed Six,Leitner-Poma,2021-,3000,1261,4938,800,1000,78,15,Bottom,Dual,4.9,,okemo-vt/
8,Operating,Sachem,Quad,Poma,1989-,2100,967,4535,310,500,,18,Bottom,Bottom,9.1,,okemo-vt/
9,Operating,Solitude Express,High Speed Quad,Poma,1994-,2400,1115,4744,500,1000,,16,Bottom,Top,4.7,,okemo-vt/
10,Operating,South Face Express,High Speed Quad,Poma,1997-,2400,1070,4662,500,1100,,17,Top,Bottom,4.2,,okemo-vt/
11,Operating,South Ridge A,Quad,Poma,1990-,2400,416,2673,200,500,,11,Bottom,Bottom,5.3,,okemo-vt/
12,Operating,South Ridge B,Quad,Poma,1985-,2400,414,2743,,450,,10,Bottom,Bottom,6.1,,okemo-vt/
13,Operating,Sunburst Six,High Speed Six,Leitner-Poma,2014-,3000,1670,6617,900,1000,,20,Top,Bottom,6.6,Bubbles and heated seats,okemo-vt/
14,Operating,Sunshine,Quad,Leitner-Poma,2015-,2400,454,2774,200,450,,11,Bottom,Bottom,6.2,,okemo-vt/
15,Operating,The Pull,Platter,Poma,1996-,450,250,1050,,,,7,Bottom,Top,,Relocated,okemo-vt/
16,Removed,Black,Platter,Poma,1960-1984,,,,,,,,,,,,okemo-vt/
17,Removed,Blue,Platter,Poma,1958-,,,,,,,,,,,,okemo-vt/
18,Removed,F-10,Platter,Poma,-2007,400,60,506,,,,,,,,,okemo-vt/
19,Removed,Glades Peak,Triple,Poma,1983-1991,1000,1035,3920,,,,,,,,,okemo-vt/
20,Removed,Green,Platter,Poma,1963-1986,1000,812,3520,,,,,,,,,okemo-vt/
21,Removed,Green Ridge,Triple,Doppelmayr,1986-2021,1800,1025,4110,,500,155,16,Bottom,Bottom,8.2,,okemo-vt/
22,Removed,Mitey Mite,Platter,Poma,1965-,800,100,600,,425,,,,,1.4,,okemo-vt/
23,Removed,Northeast,Triple,Poma,1983-1992,1620,1673,6430,,500,,,Bottom,Bottom,12.9,,okemo-vt/
24,Removed,Northstar Express,High Speed Quad,Poma,1992-2014,2900,1673,6430,800,1100,,,Bottom,Dual,5.8,,okemo-vt/
25,Removed,Northwest Summit,Double,Riblet,1969-,1600,1670,6430,,,,,,,,,okemo-vt/
26,Removed,Quantum Four,High Speed Quad,Leitner-Poma,2002-2021,2400,1260,4093,600,1100,,14,Bottom,Dual,3.7,New bubble chairs 2015,okemo-vt/
27,Removed,Red,Platter,Poma,1955-,,,,,,,,,,,,okemo-vt/
28,Removed,Sachem,Double,Poma,1965-1989,1000,1000,4600,,500,,,,,9.2,,okemo-vt/
29,Removed,Solitude,Quad,Poma,1987-1994,2400,1115,4605,400,500,,,,,9.2,,okemo-vt/
30,Removed,South Ridge,Double,Poma,1971-1990,1200,408,2748,,500,,,,,5.5,,okemo-vt/
31,Removed,Summit,Double,Riblet,1968-,1000,2037,6650,,690,,,,,9.6,,okemo-vt/
32,Removed,Yellow,Platter,Poma,1955-,,,,,,,,,,,,okemo-vt/
33,Removed,Snow Stars,Platter,Poma,1988-2010,500,17,204,3,283,,,,,0.7,,okemo-vt/
2,Operating,Sky Ride,Triple,Doppelmayr,,,,,,,82,7,,,,Also operates at the Arizona State Fair,orange-county-fair/
2,Operating,FairLift,Double,Superior Tramway,1993-,,,,,,141,11,South,North,,,oregon-state-fair-or/
2,Operating,Double,Double,Poma,1982-,,,,,,,8,Bottom,Top,,"Relocated from Flagg Hill, MA",otis-ridge-ma/
3,Operating,T-Bar,T-Bar,Doppelmayr,1962-,,,,,,,4,Bottom,Top,,,otis-ridge-ma/
4,Removed,,J-Bar,Homemade,1959-,,,,,,,,Bottom,Top,,,otis-ridge-ma/
2,Operating,Chair 1,Double,Miner-Denver,,,,,,,,5,Top,Bottom,3.1,Has CTEC chairs,otsego-mi/
3,Operating,Chair 2,Double,Miner-Denver,,,,,,,,4,Bottom,Top,2,Has CTEC chairs,otsego-mi/
4,Operating,Chair 3,Quad,Garaventa CTEC,1997-,1500,275,1278,75,400,,6,Bottom,Bottom,3.2,,otsego-mi/
5,Operating,Chair 4,Double,Miner-Denver,,,,,,,,10,Bottom,Bottom,,Has CTEC chairs,otsego-mi/
6,Operating,Chair 5,Triple,Miner-Denver,1969-,1500,316,1784,,500,,9,Top,Bottom,3.6,Has CTEC chairs,otsego-mi/
7,Removed,,Double,Telecar,1966-,1000,265,1550,,500,,,,,3.1,,otsego-mi/
8,Removed,,Double,Telecar,1965-,990,275,982,,500,,,,,2,,otsego-mi/
2,Operating,Bleu,Double,Poma,,,,,,,90,11,Bottom,Top,,Relocated,owls-head-qc/
3,Operating,du Lac,Quad,Doppelmayr,2019-,2200,656,2929,200,450,109,12,Bottom,Bottom,6.5,Loading carpet,owls-head-qc/
4,Operating,Familiale,Quad,Borvig,2003-,,,,,,,7,Bottom,Bottom,,Relocated,owls-head-qc/
5,Operating,Panorama,High Speed Quad,Doppelmayr,2003-,,453,3609,,1000,,14,Bottom,Top,3.6,"Relocated from Blue Mountain, ON",owls-head-qc/
6,Operating,Sommet,High Speed Quad,Doppelmayr,1987-,2400,1200,3900,460,1000,,15,Bottom,Bottom,3.9,,owls-head-qc/
7,Removed,A,Double,,-1987,,,4000,,,,,,,,,owls-head-qc/
8,Removed,La Petite Rouge,Double,Mueller,1971-2003,,,1500,,,,8,Bottom,Top,,"Relocated from Mont Sourire, QC",owls-head-qc/
9,Removed,La Verte,Double,Heron-Poma,1975-2018,,,5000,,,,26,Bottom,Bottom,,"Relocated from Stagecoach, CO",owls-head-qc/
10,Removed,Le Lac,High Speed Quad,Doppelmayr,1999-2019,2400,,,,1000,,18,Bottom,Top,,"Relocated from Breckenridge, CO",owls-head-qc/
11,Removed,Noire,Double,,-2003,,,3600,,,,,,,,,owls-head-qc/
12,Removed,Orange,Double,Poma,1971-1999,1100,794,3864,,480,,,,,8.1,,owls-head-qc/
13,Removed,Panorama,Double,Mueller,1965-2019,800,1280,4200,,510,,13,Bottom,Bottom,8.2,,owls-head-qc/
14,Removed,,T-Bar,Mueller,1965-,750,600,2200,,510,,,,,4.3,,owls-head-qc/
2,Operating,Aerial Tram,Tram 10,Poma,,,,,,,1,1,Bottom,,,,pacoima-dam-ca/
2,Operating,Aspen,Triple,CTEC,1982-,1550,1143,3450,,455,,15,Bottom,Bottom,7.6,,pajarito-mountain-nm/
3,Operating,Beginner,Double,CTEC,1981-,1200,269,1105,,350,,5,Bottom,Bottom,3.2,,pajarito-mountain-nm/
4,Operating,Mother,Double,Riblet,1976-,1200,1184,3592,,500,,16,Bottom,Bottom,7.2,,pajarito-mountain-nm/
5,Operating,Spruce,Double,Riblet,1969-,1200,909,3136,,500,,16,Bottom,Top,6.3,Top terminal destroyed in 2011 fire and replaced.,pajarito-mountain-nm/
6,Operating,Townsight,Quad,Garaventa CTEC,1994-,1650,1021,3285,250,465,,13,Bottom,Bottom,7.1,,pajarito-mountain-nm/
7,Removed,T-Bar,T-Bar,Hall,1962-1982,,,,,,,20,,,,,pajarito-mountain-nm/
2,Operating,Palm Springs Aerial Tramway,Tram 80,VonRoll,1963-,515,5873,12780,1100,1970,2,5,Top,Top,6.5,Retrofitted by Doppelmayr in 2000 with new rotating cabins.,palm-springs-aerial-tramway-ca/
