Status,Lift Name,Type,Capacity,Vertical Rise,Length,Line Speed,Drive,Ride Time,Resort,State,Ikon,Epic,Price,Season,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Lift capacity,Nightskiing,Summer skiing
Operating,Chair 1,Double,1200,662,2364,400,Bottom,5.9,arctic valley,ak,0,0,,,,,,,,,,
Operating,Chair 2,Double,1200,1214,4544,500,Bottom,9.1,arctic valley,ak,0,0,,,,,,,,,,
Operating,T-Bar,T-Bar,,984,2802,,Bottom,,arctic valley,ak,0,0,,,,,,,,,,
Operating,Glenn,T-Bar,,,,,Bottom,,ascutney,vt,0,0,,,,,,,,,,
Operating,Cloud Nine,High Speed Quad,1200,1116,4743,1100,Top,4.3,aspen highlands,co,1,0,124,December - April,24,40,70,134,5,7085,No,No
Operating,Deep Termerity,Triple,1085,1708,3683,500,Top,7.4,aspen highlands,co,1,0,124,December - April,24,40,70,134,5,7085,No,No
Operating,Exhibition,High Speed Quad,1800,1914,8793,1100,Top,8,aspen highlands,co,1,0,124,December - April,24,40,70,134,5,7085,No,No
Operating,Five Trees,Double,600,743,4171,525,Bottom,7.9,aspen highlands,co,1,0,124,December - April,24,40,70,134,5,7085,No,No
Operating,Loge Peak,High Speed Quad,1800,1620,6610,1100,Bottom,6,aspen highlands,co,1,0,124,December - April,24,40,70,134,5,7085,No,No
Operating,Thunderbowl,Triple,1200,1450,4194,500,Top,8.4,aspen highlands,co,1,0,124,December - April,24,40,70,134,5,7085,No,No
Operating,Ajax Express,High Speed Quad,2400,1120,4689,1000,Top,4.7,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,Bell Mountain,Double,1000,2158,6803,500,Top,13.6,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,FIS,Double,1200,602,1519,500,Top,3,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,Gent's Ridge,Quad,1750,1079,5440,450,Top,12.1,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,Little Nell,Quad,1700,550,2208,500,Top,4.4,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,Ruthies,High Speed Triple,1800,1358,5511,1100,Top,5,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,Shadow Mountain,Double,1071,1393,3625,500,Bottom,7.3,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,Silver Queen Gondola,Gondola 6,2000,3264,13216,1000,Top,13.2,aspen mountain,co,1,0,124,November - April,0,49,54,103,4,13400,No,No
Operating,Alpine Springs,High Speed Quad,2600,1529,7200,1100,Top,6.5,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Assay Hill,Quad,1200,210,1480,400,Bottom,3.7,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Big Burn,High Speed Six,2200,1982,7639,1100,Top,6.9,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Campground,Double,664,1435,4730,550,Top,8.6,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Cirque,Platter,230,793,3994,750,Bottom,5.3,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Coney Glade,High Speed Quad,2400,1224,5056,1000,Bottom,5.1,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Elk Camp,High Speed Quad,1600,1554,7605,1100,Top,6.9,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Elk Camp Gondola,Gondola 8,2800,1365,8652,1000,Top,8.7,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,High Alpine,High Speed Quad,1800,1509,5256,1000,Bottom,5.3,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Meadows,Quad,1200,125,1263,300,Bottom,4.2,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Pines Lower,Platter,100,70,838,300,Bottom,2.8,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Pines Upper,Platter,204,30,601,300,Bottom,2,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Sam's Knob,High Speed Quad,2400,1212,3973,1000,Top,4,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Scooper,Platter,428,222,871,450,Bottom,1.9,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Sheer Bliss,High Speed Quad,2000,2212,9242,1000,Top,9.2,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Two Creeks,High Speed Quad,1775,1710,9835,1100,Top,8.9,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Village Express,High Speed Six,3000,2174,10074,1050,Top,9.6,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Sky Cab,Pulse Gondola,530,160,1088,1000,Top,1.1,aspen snowmass,co,1,0,124,November - April,14,111,111,236,8,27765,Yes,No
Operating,Abenaki,Quad,2400,1020,3825,460,Bottom,8.3,attitash,nh,0,1,,,,,,,,,,
Operating,Flying Bear,High Speed Quad,2800,1467,5215,1000,Top,5.2,attitash,nh,0,1,,,,,,,,,,
Operating,Flying Yankee,High Speed Quad,2800,883,3070,1070,Bottom,2.9,attitash,nh,0,1,,,,,,,,,,
Operating,Kachina,Triple,1800,512,2200,,Bottom,,attitash,nh,0,1,,,,,,,,,,
Operating,Learning Center,Triple,1200,263,1210,350,Bottom,3.5,attitash,nh,0,1,,,,,,,,,,
Operating,Progression,Quad,1800,637,2708,450,Bottom,6,attitash,nh,0,1,,,,,,,,,,
Operating,Summit,Triple,1500,1672,6205,500,Bottom,12.4,attitash,nh,0,1,,,,,,,,,,
Operating,T-Bar,T-Bar,,,,,Bottom,,badger mountain,wa,0,0,,,,,,,,,,
Operating,T-Bar,T-Bar,800,430,2170,415,Bottom,5.2,baker mountain,me,0,0,,,,,,,,,,
Operating,T-Bar,T-Bar,1000,630,3070,450,Bottom,6.8,bald mountain,id,0,0,,,,,,,,,,
Operating,T-Bar,T-Bar,,590,,,Bottom,,bear canyon,mt,0,0,,,,,,,,,,
Operating,A,Quad,1800,435,2661,450,Bottom,5.9,bear creek,pa,0,0,,,,,,,,,,
Operating,B,Quad,1700,460,2740,450,Bottom,6.1,bear creek,pa,0,0,,,,,,,,,,
Operating,E,Triple,,,,,Bottom,,bear creek,pa,0,0,,,,,,,,,,
Operating,F,Quad,2200,380,1980,450,Bottom,4.4,bear creek,pa,0,0,,,,,,,,,,
Operating,2 Hibernation,Double,1000,519,2896,400,Bottom,7.2,bear mountain,ca,1,0,,,,,,,,,,
Operating,3 Showdown,Double,1150,336,1775,380,Bottom,4.7,bear mountain,ca,1,0,,,,,,,,,,
Operating,4 Silver Mountain,Double,1139,932,3000,500,Bottom,6,bear mountain,ca,1,0,,,,,,,,,,
Operating,5 Gold Rush,Quad,2400,419,1660,450,Top,3.7,bear mountain,ca,1,0,,,,,,,,,,
Operating,6 Access Express,High Speed Quad,2400,546,3638,900,Bottom,4,bear mountain,ca,1,0,,,,,,,,,,
Operating,7 Inspiration,Triple,1200,83,585,250,Bottom,2.3,bear mountain,ca,1,0,,,,,,,,,,
Operating,8 Bear Peak,Triple,1200,1130,3630,500,Top,7.3,bear mountain,ca,1,0,,,,,,,,,,
Operating,9 Bear Mountain Express,High Speed Quad,3000,1310,5635,1000,Top,5.6,bear mountain,ca,1,0,,,,,,,,,,
Operating,Chairlift,Double,720,877,2465,450,Bottom,5.5,bear paw,mt,0,0,,,,,,,,,,
Operating,Mokelumne Express,High Speed Six,3000,730,3100,1000,Top,3.1,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Cub,Double,1200,200,1450,,Bottom,,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Grizzly,Double,1200,1267,2918,,Top,,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Koala,Double,1200,500,1816,450,Bottom,4,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Kuma,Triple,1900,733,3065,500,Top,6.1,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Polar Express,High Speed Quad,2400,953,4400,1000,Top,4.4,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Pooh Bear,Triple,2000,735,2770,500,Top,5.5,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Super Cub,Double,1100,253,1524,350,Bottom,4.4,bear valley,ca,0,0,67,December - April,17,27,23,67,0,11800,No,No
Operating,Poma 1,Platter,,,,,Top,,beartooth basin,wy,0,0,,,,,,,,,,
Operating,Poma 2,Platter,587,288,833,528,Top,1.6,beartooth basin,wy,0,0,,,,,,,,,,
Operating,Poma,Platter,720,107,626,421,Bottom,1.5,beartown,ny,0,0,,,,,,,,,,
Operating,T-Bar,T-Bar,1150,132,939,450,Bottom,2.1,beartown,ny,0,0,,,,,,,,,,
Operating,Arrow Bahn Express,High Speed Quad,1200,1713,7809,1000,Top,7.8,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Bachelor Express,High Speed Quad,2400,1255,5957,1000,Top,6,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Birds of Prey Express,High Speed Quad,2600,2158,6453,1000,Top,6.5,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Centennial Express,Chondola 6/10,3400,2102,7876,1000,Top,7.9,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Cinch Express,High Speed Quad,2800,1458,6170,984,Top,6.3,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Elkhorn,Triple,,,,,Top,,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Grouse Mountain Express,High Speed Quad,2800,1811,5420,984,Top,5.5,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Haymeadow Express,Gondola 8,2200,336,1671,600,Top,2.8,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Highlands,Double,,196,,,Top,4,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Larkspur Express,High Speed Quad,2600,1524,5633,1000,Top,5.6,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Lower Beaver Creek Mountain Express,High Speed Quad,2400,905,6416,1000,Top,6.4,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,McCoy Park Express,High Speed Quad,2400,921,6150,1000,Top,6.2,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Red Buffalo Express,High Speed Quad,2000,816,4607,1000,Top,4.6,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Reunion,Quad,1800,480,2766,450,Top,6.1,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Riverfront Express,Gondola 8,1600,63,2210,800,Top,2.8,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Rose Bowl Express,High Speed Quad,2400,1326,4714,1000,Top,4.7,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Strawberry Park Express,High Speed Quad,2800,1752,6840,984,Top,7,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Upper Beaver Creek Mountain Express,High Speed Quad,2600,1482,8591,1000,Top,8.6,beaver creek,co,0,1,141,November - April,28,64,57,149,4,38200,No,No
Operating,Beaver Face,Double,800,1060,4200,,Bottom,,beaver mountain,ut,0,0,,,,,,,,,,
Operating,Harry's Dream,Triple,,,,,Bottom,,beaver mountain,ut,0,0,,,,,,,,,,
Operating,Little Beaver,Triple,1500,385,1785,400,Bottom,4.5,beaver mountain,ut,0,0,,,,,,,,,,
